,TERR_NAME,surface_area_total_km2,HR_baseline,HR_reporting_30,nr_stations_baseline,nr_stations_reporting_30,HR_NN_baseline_mean,HR_NN_baseline_std,HR_NN_reporting_30_mean,HR_NN_reporting_30_std,STATUS,surface_area_km2_wb,eez_area_km2,int_water_km2
SLB,Solomon Islands,1639829.0,426.8526938209741,572.6829838575615,9.0,5.0,58.26838231283488,92.34878976712453,38.74178592290073,86.62926689335046,WMO Member,27990.0,1611839.0,
SLE,Sierra Leone,233455.0,483.1718120917237,,1.0,,,,,,WMO Member,72180.0,161275.0,
SLV,El Salvador,116191.0,196.8002371272284,340.8680096459625,3.0,1.0,67.52164040643353,33.757190933174485,,,WMO Member,20720.0,95471.0,
SMR,San Marino,60.0,,,,,,,,,not WMO Member,60.0,,
SOM,Somalia,1412554.0,297.1272875385228,,16.0,,150.4103358285602,40.67582321955904,,,WMO Member,627340.0,785214.0,
SRB,Serbia,87460.0,55.88892044557157,55.88892044557157,28.0,28.0,47.007085890401775,16.872942065401947,47.007085890401754,16.872942065401947,WMO Member,87460.0,,
SSD,South Sudan,631928.394321665,355.507635451523,,5.0,,293.7560925819099,84.83859055137493,,,WMO Member,631928.394321665,,
STP,Sao Tome and Principe,132390.0,210.07141642784245,,3.0,,53.32912022760176,92.3687457571554,,,WMO Member,960.0,131430.0,
SUR,Suriname,289870.0,269.19788260682884,,4.0,,91.15544226845401,87.1652252411033,,,WMO Member,156000.0,133870.0,
SVK,Slovakia,48080.0,41.43842247411039,41.43842247411039,28.0,28.0,30.475228522911145,14.795546149657715,30.47522852291115,14.795546149657715,WMO Member,48080.0,,
SVN,Slovenia,20355.999511718797,31.902977534799785,38.13135147254515,20.0,14.0,28.954813452090566,13.684202203949535,31.333281224998817,14.97633461337248,WMO Member,20141.999511718797,214.0,
SWE,Sweden,589842.0,59.077824512353416,75.30974500227506,169.0,104.0,43.54659689808827,28.845350659027886,61.986028769656194,32.98530503112739,WMO Member,407310.0,154510.0,28022.0
SWZ,Eswatini,17200.0,53.541261347363374,131.14877048604,6.0,1.0,40.778784996917985,11.240867171963039,,,WMO Member,17200.0,,
SYC,Seychelles,1347711.0,519.1745371260035,1160.9095572007323,5.0,1.0,8.968425466779099,20.054008994858343,,,WMO Member,460.0,1347251.0,
SYR,Syrian Arab Republic,193899.0,122.12824281183977,196.92587437916833,13.0,5.0,80.68124394956777,39.53246606853226,163.26874553552437,209.06313399605878,WMO Member,183630.0,10269.0,
TCA,Turks and Caicos Islands,92200.0,,,,,,,,,WMO Member,950.0,91250.0,
TCD,Chad,1259200.0,311.22586406264253,793.4733769950948,13.0,2.0,188.6391824678959,102.49329688139,489.5607091927738,0.0,WMO Member,1259200.0,,
TGO,Togo,69905.0,93.47793857376188,,8.0,,57.71380142515009,29.152405017426517,,,WMO Member,54390.0,15515.0,
THA,Thailand,871845.0,83.51502858767395,85.59455923964192,125.0,119.0,14.981862773585984,11.142116970576826,15.175176454915789,10.377417578789146,WMO Member,510890.0,299918.0,61037.0
TJK,Tajikistan,138790.0,71.6963762708435,99.56691934860407,27.0,14.0,33.58713682255223,22.400931429740886,42.577946373620236,29.046205761257752,WMO Member,138790.0,,
TKM,Turkmenistan,531101.0,159.0299462664935,162.95720297059594,21.0,20.0,106.61355351602027,35.59042315647253,111.28650465155702,41.72973553286089,WMO Member,469930.0,61171.0,
TLS,Timor-Leste,89175.0,211.15752413778677,,2.0,,92.76437336577088,0.0,,,WMO Member,14870.0,74305.0,
TON,Tonga,668677.0,365.6985097043738,578.2201137975053,5.0,2.0,141.16199533451976,189.55683156488212,321.49278563993363,0.0,WMO Member,720.0,667957.0,
TTO,Trinidad and Tobago,81996.0,286.34943687739286,286.34943687739286,1.0,1.0,,,,,WMO Member,5130.0,76866.0,
TUN,Tunisia,268644.0,99.74857281073137,101.64871636406207,27.0,26.0,56.802260579079224,29.209162473438695,53.57835136148178,24.401847348747793,WMO Member,155360.0,99686.0,13598.0
TUR,Turkey,1031557.0,89.77215081805716,94.30128715251288,128.0,116.0,46.2003495255208,29.58133129517756,50.75728591695279,30.77024309028008,WMO Member,769630.0,261927.0,
TUV,Tuvalu,756343.0,328.7080771748696,869.6798261429318,7.0,1.0,35.75852976223737,94.60817700018173,,,WMO Member,30.0,756313.0,
TZA,United Republic of Tanzania,1155916.0,260.7586217625975,298.18889212144603,17.0,13.0,155.3439219994242,84.31183391759569,188.08096104564095,95.14389825236239,WMO Member,885800.0,242601.0,27515.0
UGA,Uganda,200520.0,135.01515066499357,,11.0,,94.71725908987037,38.78419907557323,,,WMO Member,200520.0,,
UKR,Ukraine,591351.0,60.60517781212882,60.98515130132321,161.0,159.0,48.5066828048454,17.92847429550336,49.52529392962419,17.557161796325342,WMO Member,579290.0,,12061.0
URY,Uruguay,334338.0,126.17787897590111,236.0571964588244,21.0,6.0,43.3113607824045,31.011345809384206,117.43681743309631,100.14821554850003,WMO Member,175020.0,143077.0,16241.0
USA,United States of America,17744933.0,267.4923348313899,276.5624344924918,248.0,232.0,125.85044402639198,452.28643450778077,112.29835373747459,402.5205995465314,WMO Member,9147420.0,8597513.0,
UZB,Uzbekistan,425400.0,145.84238067173752,158.18827204241376,20.0,17.0,83.64095031728692,40.20146197150365,87.3146290545404,45.08671217041543,WMO Member,425400.0,,
VAT,Holy See,0.0,,,,,,,,,not WMO Member,,,
VCT,Saint Vincent and the Grenadines,36771.0,,,,,,,,,not WMO Member,390.0,36381.0,
VEN,"Venezuela, Bolivarian Republic of",1373607.0,207.18402146401155,,32.0,,67.37319826057144,45.99201785089124,,,WMO Member,882050.0,474350.0,17207.0
VGB,British Virgin Islands,81938.0,,,,,,,,,WMO Member,150.0,81788.0,
VNM,Viet Nam,1165254.0,179.91155234355202,225.08491151408694,36.0,23.0,39.62739175533157,39.142430085952476,64.60663518933538,76.0356748481417,WMO Member,310070.0,753883.0,101301.0
VUT,Vanuatu,637720.0,301.83249848692094,301.83249848692094,7.0,7.0,116.99010278179149,29.094314920472616,116.99010278179148,29.094314920472616,WMO Member,12190.0,625530.0,
WSM,Samoa,133803.0,110.29011329629276,182.89546194479513,11.0,4.0,11.661478795591103,18.196642075551807,0.0,0.0,WMO Member,2830.0,130973.0,
XX1,Kashmir disputed triangle,0.0,,,,,,,,,disputed,,,
XX3,Abey,0.0,,,,,,,,,disputed,,,
YEM,Yemen,1057364.0,459.86171834585224,,5.0,,132.40256213607083,192.9964386998276,,,WMO Member,527970.0,529394.0,
ZAF,South Africa,2770004.0,131.5770686707984,143.2429689309327,160.0,135.0,53.2590687674811,32.81854503480516,58.81259864855524,33.47655553707382,WMO Member,1213090.0,1546750.0,10164.0
ZMB,Zambia,743390.0,118.43237063866594,,53.0,,34.49313285836675,55.97276675068091,,,WMO Member,743390.0,,
ZWE,Zimbabwe,386850.0,97.13581138621603,,41.0,,61.541311916652724,31.148451950379766,,,WMO Member,386850.0,,
